Case Study Id,Institution,Unit of Assessment,Title,Summary of the impact
41877,"
    University of the West of Scotland
    ","Communication, Cultural and Media Studies, Library and Information Management ","
    ""Bringing Science to Society"": Influencing Public Engagement with
        Bioethics
    ","
    Professor Andy Miah's research on the ethics of human enhancement has
      transformed the working
      lives of three principal professional communities: curators of UK flagship
      festivals and exhibitions
      (Abandon Normal Devices festival, the Wellcome Trust, Edinburgh
      International Science Festival);
      journalists (coverage on doping); and politicians and civil servants
      working on technology policy
      (European Parliament, World Anti-Doping Agency). His pioneering research
      has led to the creation
      of new artistic work, shaped policy directions, contributed to public
      engagement with bioethics, and
      advanced debate on the ethics of digital and biological technology.
    "
42009,"
    UEL
    ",Social Work and Social Policy,"
    Improving the evaluation and delivery of social and health services
    ","
    Clinical, observational and biographical research developed at UEL has
      produced and supported
      the novel application of a practice-near methodology adapted to evaluate
      social work practice and
      social problems. The benefits of this are described here in the context of
      two illustrative examples
      exemplifying the adaptation of the UEL methodology to address
      self-harm/suicide prevention and
      the safeguarding of children's rights in London's African communities.
      Those benefits accrue to
      practitioners, policy makers, community organisations and individual
      health and social care service
      users, and include: the delivery of training leading to positive changes
      in professional practice; and
      contributions to discussion, debate and policy and guideline formulation.
      The research has also
      been used to enhance public awareness of important social and cultural
      issues.
    "
42017,"
    Loughborough University
    ","Sport and Exercise Sciences, Leisure and Tourism","
    The integration and application of psychology in youth football:
        Research-related impacts on coaches, clubs and governing body policy
    ","
    The Football Association (FA) now incorporates player-centred evaluations
      of international
      tournaments into its policy as a result of longitudinal research at
      Loughborough University aimed at
      raising the profile and application of psychological principles in youth
      football. In addition, FA
      coaching award courses and coach development courses have integrated a
      specific focus on core
      psychological factors (known as the 5C's), and these have been promoted by
      the FA to their
      14,900 licensed coaches and 20,587 Twitter followers worldwide. These
      principles have also been
      adopted and embedded within English professional club academy programmes.
      Further to this,
      research conducted within coaching behaviour has resulted in the
      development and marketing of
      coach behaviour analysis software that has been sold to professional youth
      academies and is
      integral to coach development initiatives.
    "
42107,"
    Aberystwyth University
    ",Law,"
    Human Rights and Older People
    ","
    This case study involves the research of Professor John Williams on the
      law and older people and its impact on health and welfare, practitioners,
      and public policy, law and services within the UK and his contribution to
      an international debate on the need for a UN convention on the rights of
      older people. It demonstrates the impact that his published works and
      conference presentations have on policy makers and practitioners when
      responding to cases of suspected elder abuse within domestic and
      residential settings. It also demonstrates his input into the law reform
      process through his contributions to policy making bodies nationally and
      internationally.
    "
42109,"
    Kingston University
    ","Art and Design: History, Practice and Theory","
    Improving the design of health care facilities for people with neural
        disabilities
    ","
    Research at Kingston University led by Hilary Dalke has established the
      beneficial effects of colour design for application in long-term health
      care environments for people with neural disabilities. This work has led
      to the development of spatial design principles for improving the
      experience of service users, patients and staff.
    Through her consultancy work with architectural firms, individual NHS
      hospitals, mental health units, independent charities and healthcare
      furniture and equipment suppliers such as Hill-Rom, Dalke has influenced
      their understanding of the issues involved, leading to improved design in
      hospitals, care homes and day centres, with consequent benefits for
      patients, staff and visitors in four institutions.
    "
42112,"
    Aberystwyth University
    ",Politics and International Studies,"
    Global Health and Foreign and Security Policy
    ","
    This case study describes the impact on public policy and public policy
      discussions, nationally and internationally, of research conducted in the
      Centre for Health and International Relations (CHAIR) at Aberystwyth
      University. The research concerned the relationship between global health
      and foreign and security policy by its director Professor Colin McInnes,
      and research by McInnes and Dr Simon Rushton on the national security
      implications of HIV/AIDS. The beneficiaries have been UK government
      officials and policy makers and officials and policy makers in relevant
      international health organisations globally. Professor McInnes and the
      Centre's staff remain actively involved in shaping national and global
      discussion on health policy.
    "
42115,"
    Aberystwyth University
    ","Sport and Exercise Sciences, Leisure and Tourism","
    Development of a performance-enhancing warm-up procedure for athletic
      events
    ","
    The Human Performance Research Group at Aberystwyth University developed
      a novel high- intensity ""warm-up"" regime, known as ""priming exercise"".
      Performing this type of exercise can provide an ergogenic effect during
      subsequent exercise or competition. This research has impacted upon
      professional practice of sports scientists and coaches tasked with
      preparing elite athletes for competition. Specifically, previously warm-up
      exercise was performed prior to exercise, whereas now many practitioners
      apply priming exercise regimes. In addition, this practice has a direct
      impact upon the performance of both elite and amateur athletes.
    "
42116,"
    Aberystwyth University
    ","Sport and Exercise Sciences, Leisure and Tourism","
    Community exercise schemes for rural populations
    ","
    The Physical Activity in Ageing, Rehabilitation and Health Research Group
      at Aberystwyth University has designed, implemented and evaluated rural
      Community Exercise Schemes (CESs), including GP referral of sub-clinical
      populations, and more specialised schemes, such as cardiac rehabilitation
      and falls prevention. This research has made a distinct and material
      contribution to the provision of CESs in the region by providing evidence
      to inform service planning and delivery, increase access to and engagement
      with services, improve health and influence professional standards,
      guidelines and training.
    "
42121,"
    Aberystwyth University
    ",History,"
    Influencing Policy and Public Discourse in Medicine and Public Health in
      Modern Wales
    ","
    The impact on public discourse and public services of this case study
      derives from research in the history of medicine and public health in
      modern Wales and is felt by members of the public, disabled individuals
      and disability groups, health and medical professionals, and civil
      servants and politicians. Individuals in these various groups have gained
      a better understanding of the history of their contemporary situations
      that has allowed them to think, act and behave in different ways, and
      enabled them to negotiate the contemporary health challenges posed by the
      rapidly changing economic environment in Wales over the last two
      centuries.
    "
42138,"
    London South Bank University
    ","Psychology, Psychiatry and Neuroscience","
    Raised awareness and more effective interventions in Children with Speech
      Language Impairment.
    ","
    Research has produced an Interim impact on Speech and
      Language Therapists (SLTs) and
      Specialist Teachers who work with Children with Language difficulties.
      I-CAN, a major children's
      communication charity, embraced the research findings and associated
      resources to support their
      involvement in a nationwide study on pupils at risk of fixed-term or
      permanent exclusion.
    Key findings from the study revealed that 90% of SLTs would change the
      way they would work; over
      80% of pupils improved their confidence, behaviour and communication
      skills; 95% of parents reported
      an improvement in attendance; and fixed-term exclusions decreased by 21%.
    "
42198,"
    Imperial College London
    ",Clinical Medicine,"
    Building a Safer Surgical Workforce; Driving Innovation in Simulation,
      Training &amp; Educational Research
    ","
    The impact of educational research from the Rothschild Centre for
      Clinical Simulation and Education Research (RCSER) at Imperial College
      London has progressed from the development and validation of simulators
      and skill assessment, through to shaping guidelines for training curricula
      and continued professional development in the NHS and beyond. This body of
      multidisciplinary research brings together Imperial's contributions in
      simulation science, skills assessment, performance-shaping factors,
      educational theory and surgical practice to contribute to national and
      international healthcare education and policy. The work impacts upon
      clinical practice at regional, national and international levels, with
      far-reaching implications for the quality and safety of patient care.
    "
42210,"
    Imperial College London
    ",Clinical Medicine,"
    Improving Quality for Cardiovascular Disease Prevention in Europe and the
      National Health Service
    ","
    In response to the gap between standards and the reality of preventive
      cardiovascular disease (CVD) health care delivered across Europe, Imperial
      College researchers developed an innovative nurse-led, multidisciplinary,
      family centred, CVD prevention programme (EUROACTION) and led its
      evaluation in hospital and general practice across 8 European countries.
      We showed that patients and their families in our programme can achieve
      healthier lifestyles and better risk factor management compared to usual
      care and these differences were sustained out to one year. We then adapted
      our learning from EUROACTION for the NHS, by integrating secondary and
      primary prevention into one community service (MYACTION), and managing
      cardiovascular disease as a family of diseases with common antecedents. To
      train doctors, nurses and allied professionals to deliver MYACTION we
      created an MSc in Preventive Cardiology which is now in its 6th
      year. EUROACTION is now recommended as an evidence based model of care in
      current European CVD prevention guidelines, and MYACTION is being
      commissioned by the NHS in London, and Galway, Republic of Ireland, and by
      the Western Isles Health Board. Our research has impacted directly on the
      development and delivery of high quality preventive care in both Europe,
      and the NHS, and on the training of doctors, nurses and allied health
      professionals in preventive cardiology.
    "
42273,"
    Imperial College London
    ",Business and Management Studies,"
    Promoting remote care to achieve effective healthcare at affordable
        cost
    ","
    Although essential for coping with escalating health and social care
      demands, adoption of `remote care' &#8212; telecare and telehealth &#8212; has been
      slow. Professor Barlow's research group provided evidence to establish how
      remote care can be sustainably and efficiently embedded into healthcare.
      They then helped design and evaluate the Department of Health's Whole
      System Demonstrators, the world's largest trial of remote care. As a
      consequence, the government launched the 3 Million Lives programme in
      January 2012, with an estimated potential net benefit to the NHS of &#163;450m
      over the next 5 years. Research taken up by the Audit Commission and
      TSB/DTI has further influenced UK remote care policy by developing the
      evidence base and evaluating gaps in basic research.
    "
42280,"
    University of Wolverhampton
    ",Modern Languages and Linguistics,"
    Discourse analysis in medical settings
    ","
    This case study focuses upon discourse analytical research showing the
      importance of understanding communication activities in clinical settings,
      most particularly in mental health care and in transplantation medicine.
      The research described below has had an immediate impact upon educational
      and professional practice in medical settings in two European countries.
      The change that was engendered by the research can be seen both in
      educating clinicians in Poland as well as in changing communication
      practices of the British NHSBT.
    "
42290,"
    University of Strathclyde
    ","Allied Health Professions, Dentistry, Nursing and Pharmacy","
    Improving palliative care through better engagement of community
        pharmacies.
    ","
    The research has led to the design of a new clinical pharmacy service
      model, centred on community pharmacies, to improve the care of patients
      with palliative care needs living in the community. This resulted in
      better provision of information for patients (and their carers) and new
      training resources and staff development opportunities for the
      multi-disciplinary palliative care team. Funding has been secured to
      rollout the new service across NHS Greater Glasgow and Clyde Health Board
      (NHS GGC - 1.2M population) in 2013. The research has also supported a
      successful bid to explore the service model in a remote and rural Health
      Board (NHS Highland) and has informed specific programmes of Macmillan
      Cancer Support UK, pharmacy workforce planning, and the Boots Macmillan
      Information Pharmacists initiative.
    "
42293,"
    University of Strathclyde
    ","Psychology, Psychiatry and Neuroscience","
    Improved railway safety through the implementation of a confidential
      incident reporting and analysis system (CIRAS)
    ","
    The Confidential Incident Reporting and Analysis System (CIRAS), was
      developed in response to concerns about the role of human error in UK
      railway accidents. In 2008, CIRAS became an independently operated unit
      within the Rail Safety and Standards Board and is now available to
      everyone working in the UK rail industry; it codes reports about health
      and safety concerns and then facilitates a resolution between the
      individual and the relevant company or companies. 2.75 million passengers
      and 400,000 tonnes of freight use the railways in Great Britain every day
      and CIRAS impacts on the safety of all railway staff and passengers by
      ensuring that there are no barriers to reporting and resolving potential
      problems and hazards. It has also led to the construction of a database
      allowing safety issues to be classified and resolved before they can
      occur. Between 2008 and 2012 CIRAS received 2228 reports; 45% of these
      resulted in tangible safety improvements and approximately 33% contained
      important information about safety that was new to the company concerned.
      CIRAS has directly influenced the development of a confidential reporting
      system used in the USA.
    "
42294,"
    University of Strathclyde
    ","Psychology, Psychiatry and Neuroscience","
    Adoption of behavioural roadside training programme improves children's
      road crossing skills.
    ","
    In a series of training studies on children between the ages of 5 and 12
      years, a research team at the Department of Psychology successfully
      demonstrated that substantial improvements in roadside decision-making and
      behaviour can be achieved in children as young as 5 years. Based on their
      findings, the team developed and evaluated a training intervention
      (Kerbcraft) aimed at improving children's pedestrian skills through
      practical roadside activities which was formally adopted by the UK
      government. Since 2008, the majority of 5-7 year old children in the UK
      have received formal pedestrian skills training using Kerbcraft either in
      its full or adapted form. Kerbcraft now plays a key role in the UK
      Government's road safety strategy and has been cited as an example of best
      practice by the World Health Organisation and safety agencies across
      Europe, the US, Australia and in developing countries such as Ethiopia and
      Bangladesh.
    "
42366,"
    University of Strathclyde
    ",Politics and International Studies,"
    Influencing the work of Transparency International in monitoring and
      reporting
      on global corruption through an online survey.
    ","
    Because corruption involves illegal activities of public officials, data
      about the scale and objects of
      bribery is not readily available. Without such evidence, policymakers are
      handicapped in identifying
      points for effective intervention. Rose's survey research on
      post-Communist countries developed
      innovative measures to monitor the payment of bribes by citizens for
      public services. Transparency
      International (TI) is the world's leading non-governmental organisation
      campaigning against
      corruption, and it has incorporated the survey methodology in its key
      research tool, the Global
      Corruption Barometer (GCB). From 2008 to 2013 Transparency International
      has conducted three
      major rounds of Global Corruption Barometer surveys that interviewed
      upwards of 450,000 people
      in more than 110 countries on every continent. Results have been
      disseminated worldwide through
      the 90 national chapters of Transparency International. Rose's expertise
      in sampling has also
      been used to improve value-for-money expenditure on GCB surveys in the
      many developing
      countries it covers.
    "
42370,"
    University of Strathclyde
    ",Social Work and Social Policy,"
    Lessons learnt from historical child abuse: Improved policy and
        practice for children in
        residential care
    ","
    Research at Strathclyde has focused on the abuse of children in
      residential care, both historical
      and contemporary abuse, and drawn out the implications for improving
      current policy and practice.
      These research conclusions have been central in informing local, national
      and international policy
      and practice developments, impacting on interventions for adults who have
      experienced abuse in
      care, training and education of residential child care professionals, and
      current residential child
      care services. This impact has been delivered through the research
      directly informing the
      evidence base for the Shaw Review (2007) in Scotland into lessons to be
      learnt from historical
      abuse. This Review drew upon the published research alongside commissioned
      accounts by the
      Strathclyde researchers to identify actions by the Scottish Government in
      this area which have
      been implemented by government since 2008.
    "
42371,"
    University of Strathclyde
    ",Social Work and Social Policy,"
    Transforming attitudes to mental health: using art festivals to access
        hard to reach communities
    ","
    Research conducted at Strathclyde has shown that current pathways which
      focus on education
      and public information are failing to transform attitudes to mental health
      amongst low-income
      communities and black &amp; ethnic minorities. Drawing on this research,
      an annual Mental Health Arts
      Festival has been created. Since 2008 the event has engaged over 40,000
      people, and is now one
      of the largest arts and social justice festivals in Europe. The Festival
      has affected the ways in
      which these `hard to reach' groups are involved in addressing stigma and
      mental health, has
      changed approaches to the delivery of mental health awareness lessons in
      schools and
      communities, has led to NHS boards building the festival into their health
      improvement policies and
      strategies, and has been a central part of the Scottish Government's
      national anti-stigma `see me'
      campaign. The idea of a dedicated arts festival has been replicated
      elsewhere in the UK and
      internationally, and is transforming the attitudes and behaviour within
      black and minority ethnic and
      low-income communities to mental health.
    "
42373,"
    University of Strathclyde
    ",Education,"
    Impact on policy, investment and provision of counselling services for
      young people in the UK
    ","
    Research at Strathclyde has led to a significant increase in the delivery
      of school-based counselling in the UK, with services established in all
      secondary schools in Northern Ireland and Wales since 2007 and 2008,
      respectively. It is estimated that there are approximately 70-90,000
      service users per year across UK secondary schools. School-based
      counselling significantly reduces young people's psychological distress,
      and helps them gain self-confidence, achieve their goals, and concentrate
      more in class. Strathclyde's research has led the way in demonstrating the
      effectiveness of this type of intervention, and has played a pivotal role
      in supporting its roll-out and development, thereby improving the
      well-being of large numbers of young people across the UK.
    "
42380,"
    University of Strathclyde
    ",History,"
    Contribution to occupational health campaigns, international debate
        and public awareness of miner's lung and asbestos related disease and
        disability.
    ","
    A significant contribution has been made to: a) occupational health
      policy debates and widening
      public awareness about the connections between employment environments and
      disease, and b)
      compensation struggles and campaigns to improve health and safety in the
      contemporary
      workplace, as a result of oral history research on targeting the
      experience of asbestos and coal
      mining-related diseases. This has benefitted agencies, organisations and
      policy-makers involved in
      campaigning for disease victims and those individuals, families and
      communities who suffer from
      occupational diseases &#8212; including asbestos-related ones &#8212; within Scotland,
      the UK and globally.
      There has also been a wider public impact in terms of contributing to
      sustainable public and
      community heritage.
    "
42382,"
    London Metropolitan University
    ",Area Studies,"
    Humanitarian Migration Management: migrant young people in the global sex
      industry
    ","
    Professor Nick Mai researched the mobilities and vulnerabilities of young
      men, women and transgender people, including minors, working in the sex
      industry in the UK, EU and internationally. His findings show that most
      young migrants decide to work in the sex industry, which they consider
      less exploitative than other sectors. They also show that anti-trafficking
      initiatives exacerbate the vulnerability of migrant sex workers by
      enforcing restrictive migration policies and the criminalisation of sex
      work. Mai's research impacted on public debates, policymaking and
      services, which as a result now recognize trafficking as distinct from sex
      work and specifically target the needs of migrant sex workers.
    "
42383,"
    London Metropolitan University
    ",Area Studies,"
    Precarious Work and Migration
    ","
    Professor Sonia McKay researched the relationship between precarious work
      and migration for the (European) Directorate General for Employment,
      Social affairs and Equality, ACAS, the Health and Safety Executive and the
      European Union's Framework 6 programme. She found new forms of employment
      relationships are emerging from the convergence of precarious work,
      migration and the current economic crisis with increases in informal
      working and concentration of precarity among certain groups such as Roma.
      While migration policies based on closing borders in EU countries
      increases the numbers of undocumented migrants and intensifies
      exploitation McKay's work has led to some changes in policies and
      practices.
    "
42392,"
    Loughborough University
    ","Art and Design: History, Practice and Theory","
    Reducing NHS costs and Improving patient care using Ergonomics to
        redesign ambulance vehicles and equipment
    ","
    This research has already saved the NHS in excess of &#163;2.5 million over 3
      years through bulk purchasing. It was used by the National Ambulance Fleet
      Strategy Group to develop a national specification of emergency ambulances
      to reduce costs and improve patient care with 6 of 11 Ambulance Trusts in
      England purchasing from the national contract. The design and testing of a
      second tier of vehicles and equipment has supported new systems of work
      through a Community Urgent Response Environment (for on-the-spot
      treatment) and has been used in a tender specification by NHS Supply Chain
      to purchase replacement portable equipment.
    "
42395,"
    Loughborough University
    ","Art and Design: History, Practice and Theory","
    The development of the European Road Safety Observatory and the
        impact on safety policy-making
    ","
    Research at the Transport Safety Research Centre (TSRC) at Loughborough
      University has led to
      the development of a new road safety data and knowledge base called the
      European Road Safety
      Observatory (ERSO). The European Commission has confirmed in a reference
      that it has become
      a standard tool for EU and national level safety policy development and
      has been praised by the
      European Parliament. Since being established in 2006 it has been emulated
      at national level by
      many EU Member States including the UK, Spain, Czech Republic, Netherlands
      and France. The
      ERSO website now receives over 5000 hits each month from road safety
      policy-makers across the
      EU. The research, which was led by TSRC researchers, was conducted between
      2004 and 2012
      and in 2013 was awarded the HRH Prince Michael International Road Safety
      Award for its impact on
      road safety.
    "
42396,"
    Loughborough University
    ","Sport and Exercise Sciences, Leisure and Tourism","
    Improving Paralympic athletes performance: Optimising wheelchair
        configurations and enhancing training strategies
    ","
    This well established research conducted by members of Peter Harrison
      Centre for Disability Sport (Loughborough University) is seen as an
      integral part of the support provided for Paralympic wheelchair athletes
      and has impact in 3 key areas:
    
      To help identify the fundamental characteristics of elite wheelchair
        athletes and assist with athlete profiling by supporting the Paralympic
        `performance pathways' to refine their talent identification and
        confirmation procedures
      With the refinement of the testing and monitoring procedures used to
        assess the physiological and biomechanical demands of wheelchair sport
        performance
      Supporting the education of high-performance coaches by enabling them
        to gain a better understanding of the technical variables that affect
        wheelchair mobility performance
    
    "
42437,"
    Bath Spa University
    ",Education,"
    Dyslexia and Learning Style
    ","
    The Centre for Research into Inclusion and Vulnerable Learners' research
      on dyslexia and multilingualism in schools (Tilly Mortimore, Mim Hutchings
      and Anny Northcote) has influenced the public policy of several Local
      Authorities in England and of the South African Association of Learning
      Differences (SAALED), through which it has also impacted upon the practice
      of teachers, psychologists and facilitators in both countries. Mortimore's
      research on dyslexia and learning style in higher education is part of her
      wider body of research in this field which has influenced the curriculum
      and policies of several UK universities, and has also made an impact upon
      the policy and training offered by professional associations such as the
      British Dyslexia Association (BDA) and Professional Association of
      Teachers with SpLD (PATOSS).
    "
42443,"
    UNIVERSITY of WEST LONDON
    ","Allied Health Professions, Dentistry, Nursing and Pharmacy","
    Evaluating one-to-one care in midwifery: a foundation for standards
        and evidence based policy
    ","
    The thesis of this case study is that a demonstration project,
      encompassing an organisational change, utilising the principles that
      underpinned a Department of Health (1993) policy for maternity care, has
      been influential in corroborating and establishing a philosophy for
      maternity services in industrialised countries within the 21st century.
    The project provided an evidence-based approach to standards and quality
      of midwifery care. It demonstrates outcomes influencing national and
      international guidelines and policies for maternity practice. As a result,
      current midwifery guidelines for the UK and other countries, such as
      Australia, New Zealand, The Netherlands, Sweden and Canada, include
      elements of continuity of care/r (including one-to-one care and case
      loading) informed choice for women and evidence-based practice.
    "
42444,"
    Loughborough University
    ","Sport and Exercise Sciences, Leisure and Tourism","
    Improved coaching and performance arising from research on the
        biomechanics of twisting somersaults
    ","
    Research at Loughborough University on twisting somersaults has had
      impact in the current (2008-2013) coaching and performance of
      trampolining, gymnastics, diving and the aerials event in freestyle
      skiing. The findings have been adopted as the basis of coaching twisting
      somersaults by coaches in these sports from many countries including the
      UK, Netherlands, Canada, USA, Australia and China. The improvements in
      coaching and performance have changed these sports globally, have
      benefitted individual athletes in terms of being able to train more safely
      and compete more successfully, and have benefitted spectators in terms of
      an enhanced spectacle in competitive events.
    "
42634,"
    GOLDSMITHS, UNIVERSITY OF LONDON
    ",Social Work and Social Policy,"
    Religious Literacy Programme
    ","
    Adam Dinham's work on religious literacy in secular contexts plays a
      substantial role in challenging
      and enabling policy makers, educators and publics to engage with religion
      and belief identity and
      plurality. He established the Religious Literacy Programme (RLP) to
      address the poor quality of
      conversation about religion and belief amongst policy-makers and
      professionals which his work
      has observed. It began with substantial funding from HEFCE to research and
      respond to
      approaches to religion and belief in universities in the context of
      extremism. This drew attention to
      religion and belief as significant but poorly understood and addressed
      identities. The programme
      then translated findings into practice-focused training which has been
      extensively delivered. RLP
      now also works with the Equality and Human Rights Commission (EHRC) and
      the Government
      Equalities Office (GEO) on religious literacy for employers, trades
      unions, and service providers,
      following the same intentional cycle of research translated in to
      training, and is part of a very senior
      initiative, led by EHRC, to review law and policy at a strategic level.
      The RLP entered in to
      partnership with Cambridge University in 2011 and the Coexist Foundation
      (based in London and
      Washington) in 2012 with the goal of founding a permanent public home in a
      purpose built centre
      in London. This is being taken forward in ways described below.
    "
42636,"
    Liverpool Hope University
    ",Computer Science and Informatics,"
    MAGIC2VIP: Making Accessible Graphic Information Context to Visually
      Impaired People
    ","
    This project has made a considerable impact on the teaching of Geometry
      to school pupils with
      visual impairment thus ultimately enhancing their teaching and learning
      experience and quality of
      life (pupils and teachers from schools in remote villages in the states of
      Tamil Nadu; Andhra
      Pradesh; and Kerala in India). The Tactile Graphic Tool (TGT) designed as
      part of this project is a
      device allowing hand exploratory movement in making tactile diagrams of
      graphical and
      geometrical constructions and then portable digital device (e.g. DigiMemo
      A402 or a tablet PC) is
      used to make these accessible as digital pictures through the interface of
      a computer. The benefits
      of the tools developed have been in assisting people with visual
      impairment to overcome the
      challenge of accessing graphic information contents in mathematics,
      including graphs, geometry
      and statistical representations. In particular, the case study's impact
      represents a practical
      demonstration of the potential of technology-assisted learning for
      visually impaired students and is
      aimed at enhancing their educational and workplace opportunities, as well
      as access to popular
      media.
    "
42649,"
   GOLDSMITHS, UNIVERSITY OF LONDON
    ",History,"
    Death in Africa: A History c.1800 to Present Day
    ","
    This project has had significant reach beyond the academy, through two
      main avenues. Through
      sustained relationships with NGOs, faith-based organisations and other
      members of civil society
      involved in the management of death in South Africa, the project has aided
      in the professional
      development of African staff, and shaped training and facilitation on
      responses to death, grief and
      loss. And, through public engagement with its research on the funeral
      industry &#8212; including very broad
      dissemination of the documentary film `The Price of Death'&#8212; the project
      has engaged local South
      African audiences in debates around the cost of death and the
      commodification of funerals.
    "
42650,"
    Goldsmiths, University of London
    ","Art and Design: History, Practice and Theory","
    Architecture and Human Rights
    ","
    Eyal Weizman's decade-long programme of research into the relation
      between architecture and conflict has been formative to the establishment
      of the new field of ""Forensic Architecture"". His research-based books have
      been the basis for his production of influential human rights reports,
      several of which have been presented as evidence in international trials
      and/or have informed policies relating to the Israel/Palestinian conflict.
      Appointed as the director of the Centre for Research Architecture at
      Goldsmiths in 2005, in 2011 he was awarded ERC funding of &#8364;1.2M for a
      project [Forensic Architecture] on the place of architecture in
      international humanitarian law: this has generated spatial evidence
      crucial to legal issues concerning the conflicts in areas of the world
      including Palestine, Guatemala, Pakistan and the Yemen. His extensive
      collaboration with international human rights organisations and the UN
      have meant that his work has achieved very wide reach. His work reached
      multiple audiences through numerous public lectures and media
      presentations as well as extensive exhibitions in leading cultural and
      architectural institutions worldwide.
    "
42657,"
    University of the West of Scotland
    ","Sport and Exercise Sciences, Leisure and Tourism","
    The role of physical activity upon the Health and Well-being of Scottish
      Youth.
    ","
    The research of Dr Duncan Buchan, a member of the Institute of Clinical
      Exercise &amp; Health Science, has led to two critically important impacts
      which involve the identification of the prevalence of cardiometabolic
      disease risk in youth populations and thereafter the effects of physical
      activity interventions upon cardiometabolic risk in these populations. A
      key impact has been in the evaluation of the effects of High Intensity
      Training (HIT). The results have generated significant levels of media
      publicity and interest from the health and well-being community both
      nationally and internationally. This work has significantly contributed to
      the debate and awareness of the importance of physical activity for health
      and well-being.
    "
42662,"
    University of the West of Scotland
    ",Social Work and Social Policy,"
    Child employment and child employment policy
    ","
    Sandy Hobbs and Jim McKechnie have been researching the issue of young
      people's (i.e. under 16 years of age) involvement in employment: this is
      usually termed child labour or child employment. The goal of this research
      was to establish an evidence base regarding the nature and extent of child
      employment in the UK, and to consider the benefits and costs of this
      experience for young people. The impact of this research has been to raise
      the level of awareness of this issue within the UK, providing an evidence
      base that has been used by NGOs, and evaluating policy and practice for
      local and national government departments in the UK and the Isle of Man.
    "
42664,"
    Goldsmiths, University of London
    ","Music, Drama, Dance and Performing Arts","
    Sanitary Soundscapes: listener-centred approach to the noise effects of
      ultra-rapid hand dryers on vulnerable subgroups
    ","
    In research that challenges the dichotomy of music/ noise, Drever has
      investigated the properties and subjective effects of the high volumes
      produced by ultrafast hand dryers, finding that it is highly aversive for
      vulnerable groups including people with dementia, sensory impairments, and
      autistic spectrum disorders, in some cases exacerbating their social
      avoidance. These effects have been communicated to the public, industry
      professionals, and policymakers through a combination of creative art
      works and presentations of the research findings in varied public
      settings. They have been widely reported in the international media, via
      both general interest and specialist publications and programmes. He has
      worked closely with the UK's Noise Abatement Society and with industrial
      designers, who have welcomed his input to helping them improve hand dryer
      design.
    "
42751,"
    GOLDSMITHS, UNIVERSITY OF LONDON
    ","Psychology, Psychiatry and Neuroscience","
    Accessible Media Technologies
    ","
    The switch of the nation's televisions to receive digital signals is
      widely acknowledged as the biggest
      government-enforced change in British life since 1971's decimalisation.
      Jonathan Freeman's
      research on the human factors of digital switchover is recognised as an
      essential source of
      information to government, industry, and consumer groups (including
      charities such as RNIB) and
      therefore as a key foundation in the success of the switchover. In
      particular, his research influenced
      the design of easy-to-use TV equipment, and communications about
      switchover to different types of
      viewer, improving the experiences of millions of TV viewers in the UK and
      beyond.
    "
42754,"
    GOLDSMITHS, UNIVERSITY OF LONDON
    ","Psychology, Psychiatry and Neuroscience","
    Anti-bullying work in schools
    ","
    Professor Peter Smith's extensive programme of research into bullying and
      the prevention of bullying
      has translated into research reports and summaries for the Department for
      Education, the Equality
      and Human Rights Commission (EHRC), and the National Children's Bureau.
      These have been
      disseminated as expert resources to scores of relevant organisations and
      public bodies. The EHRC
      report was used in Parliament to argue for an amendment to the Education
      Bill.
    Smith chaired a Europe-wide funded project on cyberbullying, the findings
      and recommendations of
      which have been presented to policymakers and educational practitioners
      internationally. He was on
      the Advisory Board of the Anti-Bullying Alliance, working to help reduce
      bullying in UK schools.
    "
42758,"
    Goldsmiths, University of London
    ",English Language and Literature,"
    Blake Morrison and bibliotherapy
    ","
    This ICS exemplifies wide-reaching impact emanating from Morrison's
      creative outputs and his subsequent exploration of public reactions to it.
      Thus he has used different genres of writing to articulate the complexity
      of human relationships and emotions &#8212; for example via two
      critically acclaimed memoirs, an account of the Bulger trial, and, since
      being at Goldsmiths, a novel, South of the River (2007). Numerous
      readers described these books as resonating with them, highlighting the
      potential therapeutic benefits of reading serious literature
      (`bibliotherapy'). Morrison explored this idea systematically in a
      detailed review published as an essay in The Guardian (2008). The
      ensuing surge of public interest in bibliotherapy manifested in a
      transformative expansion of The Reader Organisation [TRO], which promotes
      and supports the establishment of community-based reading groups. In the
      UK these multiplied more than 5-fold over the following 3 years, and there
      was similar interest in Australia, the US, Denmark and Germany. Morrison
      subsequently became chair of TRO's Board of Trustees, and has promoted its
      activities to the public and policymakers internationally through public
      presentations, the media, and participation in policy fora.
    "
